#loc_id;name;lat;lon;plz;adresse
19359;;542.211.518.488.187;101.346.003.278.548;24245;
19435;;5.424.958;1.063.857;24327;
19507;;543.455.383.535.706;104.551.380.336.286;24257;
19708;;544.026.005.017.548;103.416.403.591.634;24217;
19742;;543.785.490.147.719;103.993.004.769.088;24217;
19769;;542.018.711.807.451;102.604.960.411.788;24211;
19840;;54.404.259;10.221.474;24235;
19873;;542.746.130.033.627;104.440.013.825.894;24238;
20055;;54.216.738;10.421.914;24306;
20077;;542.234.815.600.116;103.644.041.373.785;24211;
20346;;5.417.552;102.157.999.999.999;24250;
20475;;542.920.491.150.787;105.901.992.082.596;24321;
20513;;543.912.646.577.955;102.765.577.793.122;24235;
20687;;542.796.290.587.768;103.929.817.438.126;24238;
21024;;5.434.873.547.997;101.910.175.591.708;24248;
21122;;542.464.613.433.223;104.427.394.032.479;24238;
21314;;540.947.518.156.827;103.933.839.563.846;24326;
21352;;5.417.578;1.019.231;24250;
22302;;54.330.405.302.489;105.731.049.388.648;24321;
22333;;543.648.289.245.623;103.166.588.157.416;24253;
22507;;541.600.017.261.745;104.108.647.018.672;24306;
22550;;542.396.253.724.473;102.492.555.737.496;24211;
22584;;542.104.961.349.701;102.126.353.740.693;24211;
22600;;543.802.562.637.343;102.959.488.093.854;24253;
22604;;542.328.439.233.796;102.705.435.961.485;24211;
22648;;54.362.274;10.286.562;24253;
22768;;542.798.122.749.672;102.436.296.403.409;24223;
22806;;54.237.158.878.626;105.153.025.448.323;24321,24329;
22817;;542.724.031.142.712;102.888.664.364.815;24211;
22823;;541.849.566.930.767;104.313.694.800.615;24306;
22996;;5.406.571;101.655.900.000.001;24619;
23423;;540.932.842.066.322;102.197.343.919.992;24601;
23656;;542.306.286.593.897;102.925.786.137.581;24211;
23702;;5.411.678;1.012.358;24637;
23749;;543.216.456.473.495;103.341.166.436.672;24256;
23863;;543.928.077.874.459;103.751.887.589.694;24217;
23908;;54.339.149.417.959;102.225.421.130.657;24232;
24025;;543.573.172.445.686;104.798.887.878.657;24257;
24182;;542.905.415.285.635;10.427.672.764.659;24238;
24461;;543.890.151.470.185;104.210.712.969.304;24217;
24510;;544.147.079.747.742;102.691.422.611.476;24235;
24641;;541.265.922.758.671;10.223.930.708.003;24601;
24648;;543.463.831.970.097;103.544.162.720.442;24256;
25111;;5.433.683;1.051.131;24321;
24833;;540.953.930.913.998;100.294.631.000.042;24536;
25526;;54.195.519.754.283;103.087.221.592.665;24211;
25678;;5.411.254;1.020.367;24601;
